country,value,gdp
Australia,400342,926283274398423
Austria,67536,397594331758822
Belarus,56828,492086569760389
Belgium ,108348,485833564879133
Bulgaria,45802,50161403995166
Canada,542998,1370839821537.92
Croatia,21755,626366888094021
Czech Republic,113388,205729790694015
Denmark,49504,319762353336194
Estonia,14096,196418449569325
Finland ,55417,251499027507641
France ,377755,2693827452070.02
Germany,788803,3412975826618.51
Greece,104336,329856904695749
Hungary,50567,129359841849523
Iceland,3556,128238152548076
Ireand,42414,233556543484301
Italy,417212,2186239372047.79
Japan,1144569,5035141567658.90
Latvia ,6979,261551233077532
Liechtenstein,214,45043765899239
Lithuania ,12908,374398057326892
Luxembourg ,10710,501443456515699
Malta,2511,809940096097627
Monaco,85,555724512231576
Netherlands,169823,858085579327591
New Zealand,33445,120466612530452
Norway,42843,386383919342271
Poland,313722,436476394987.34
Portugal,56155,243745762711864
Romania,86180,164345718689535
Russia,1526778,1222644282201.86
Slovakia,35050,886342039455404
Slovenia ,16019,502447902195054
Spain,296942,1499074742984.16
Sweden,46621,429657033107737
Switzeland,43962,539528260270196
Turkey,299106,614553921806452
UK,480553,2308995170587.32
Ukraine,277757,117227769791.56
United States,5496282,14418739000000